energy,area,delay,mult
165,26,0.16547,709.8663
807,99,0.165471,13219.974603
771,98,0.16547,12502.58226
777,99,0.16547,12728.44881
642,18,0.263457,3044.509092
643,21,0.263318,3555.582954
568,19,0.263318,2841.727856
644,21,0.263352,3561.572448
642,21,0.262327,3536.692614
642,21,0.262327,3536.692614
486,54,0.199044,5223.710736
772,99,0.165471,12646.617588
771,98,0.16547,12502.58226
806,99,0.16547,13203.51318
