energy,area,delay,mult
423,26,0.339891,3738.121218
531,26,0.34007,4695.00642
1115,35,0.497249,19405.142225
1050,29,0.497655,15153.59475
890,8,0.384036,2734.33632
1675,18,0.706128,21289.7592
1135,34,0.706008,27244.84872
1189,32,0.497592,18932.380416
1105,35,0.497592,19244.3706
1115,35,0.497649,19420.752225
1115,35,0.497257,19405.454425
1049,29,0.497655,15139.162755
